#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
181082,3654624,mcp,EhV085,-,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20200909,-
181082,3654625,EhV336,EhV336,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654626,EhV337,EhV337,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654627,EhV338,EhV338,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654628,EhV339,EhV339,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654629,EhV340,EhV340,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654630,EhV341,EhV341,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654631,EhV342,EhV342,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654632,EhV343,EhV343,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654633,EhV344,EhV344,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654634,EhV193,EhV193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654635,EhV194,EhV194,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654636,EhV195,EhV195,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654637,EhV196,EhV196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654638,EhV197,EhV197,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654639,EhV198,EhV198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654640,EhV199,EhV199,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654641,EhV200,EhV200,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654642,EhV201,EhV201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654643,EhV202,EhV202,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654644,EhV203,EhV203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654645,EhV204,EhV204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654646,EhV205,EhV205,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654647,EhV206,EhV206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654648,EhV207,EhV207,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654649,EhV208,EhV208,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654650,EhV209,EhV209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654651,EhV210,EhV210,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654652,EhV210A,EhV210A,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654653,EhV001,EhV001,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654654,EhV002,EhV002,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654655,EhV003,EhV003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654656,EhV004,EhV004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654657,EhV005,EhV005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654658,EhV006,EhV006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654659,EhV007,EhV007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654660,EhV008,EhV008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654661,EhV009,EhV009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654662,EhV010,EhV010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654663,EhV011,EhV011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654664,EhV012,EhV012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654665,EhV013,EhV013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654666,EhV014,EhV014,-,-,-,-,Longevity-assurance (LAG1) family protein,protein-coding,-,-,-,Longevity-assurance (LAG1) family protein,20200909,-
181082,3654667,EhV015,EhV015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654668,EhV016,EhV016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654669,EhV155,EhV155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654670,EhV156,EhV156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654671,EhV157,EhV157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654672,EhV158,EhV158,-,-,-,-,putative DNA ligase,protein-coding,-,-,-,putative DNA ligase,20200909,-
181082,3654673,EhV159,EhV159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654674,EhV160,EhV160,-,-,-,-,putative serine protease,protein-coding,-,-,-,putative serine protease,20200909,-
181082,3654675,EhV161,EhV161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654676,EhV162,EhV162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654677,EhV163,EhV163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654678,EhV164,EhV164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654679,EhV165,EhV165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654680,EhV166,EhV166,-,-,-,-,putative RING finger protein,protein-coding,-,-,-,putative RING finger protein,20200909,-
181082,3654681,EhV167,EhV167,-,-,-,-,putative DNA-directed RNA polymerase subunit,protein-coding,-,-,-,putative DNA-directed RNA polymerase subunit,20200909,-
181082,3654682,EhV168,EhV168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654683,EhV169,EhV169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654684,EhV170,EhV170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654685,EhV171,EhV171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654686,EhV172,EhV172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654687,EhV173,EhV173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654688,EhV056,EhV056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654689,EhV057,EhV057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654690,EhV058,EhV058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654691,EhV059,EhV059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654692,EhV060,EhV060,-,-,-,-,putative lectin protein,protein-coding,-,-,-,putative lectin protein,20200909,-
181082,3654693,EhV061,EhV061,-,-,-,-,putative fatty acid desaturase,protein-coding,-,-,-,putative fatty acid desaturase,20200909,-
181082,3654694,EhV062,EhV062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654695,EhV063,EhV063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
181082,3654696,EhV064,EhV064,-,-,-,-,putative DNA-dependent RNA polymerase II largest subunit,protein-coding,-,-,-,putative DNA-dependent RNA polymerase II largest subunit,20200909,-
181082,3654697,EhV065,EhV065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
