#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
77794,14658039,ND6,-,-,-,MT,-,ND6,protein-coding,-,-,-,ND6|NADH dehydrogenase subunit 6,20150626,-
77794,14658040,ND2,-,-,-,MT,-,ND2,protein-coding,-,-,-,ND2|NADH dehydrogenase subunit 2,20160827,-
77794,14658041,COX1,-,COI,-,MT,-,COI,protein-coding,-,-,-,COI|cytochrome c oxidase subunit I,20160827,-
77794,14658042,COX2,-,COII,-,MT,-,COII,protein-coding,-,-,-,COII|cytochrome c oxidase subunit II,20210417,-
77794,14658043,ATP8,-,-,-,MT,-,ATP8,protein-coding,-,-,-,ATP8|ATP synthase F0 subunit 8,20150626,-
77794,14658044,ATP6,-,-,-,MT,-,ATP6,protein-coding,-,-,-,ATP6|ATP synthase F0 subunit 6,20150626,-
77794,14658045,COX3,-,COIII,-,MT,-,COIII,protein-coding,-,-,-,COIII|cytochrome c oxidase subunit III,20160827,-
77794,14658046,ND3,-,-,-,MT,-,ND3,protein-coding,-,-,-,ND3|NADH dehydrogenase subunit 3,20150626,-
77794,14658047,ND4L,-,-,-,MT,-,ND4L,protein-coding,-,-,-,ND4L|NADH dehydrogenase subunit 4L,20170906,-
77794,14658048,ND4,-,-,-,MT,-,ND4,protein-coding,-,-,-,ND4|NADH dehydrogenase subunit 4,20210417,-
77794,14658049,ND5,-,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,-,20160827,-
77794,14658050,CYTB,-,-,-,MT,-,CytB,protein-coding,-,-,-,CytB|cytochrome b,20150626,-
77794,14658051,ND1,-,-,-,MT,-,ND1,protein-coding,-,-,-,ND1|NADH dehydrogenase subunit 1,20150626,-
